City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Sao Miguel Do Araguaia,BR,2021-10-25 23:48:34,-13.275,-50.1628,75.33,84,96,6.24,light rain
60,Zhezkazgan,KZ,2021-10-25 23:48:35,47.8043,67.7144,44.53,44,98,4.32,overcast clouds
61,Cherskiy,RU,2021-10-25 23:48:35,68.75,161.3,-10.21,95,99,2.51,overcast clouds
62,Tagbac,PH,2021-10-25 23:48:36,7.089,125.1567,71.92,89,100,1.01,overcast clouds
63,Barranca,PE,2021-10-25 23:48:36,-10.75,-77.7667,62.17,84,38,9.1,scattered clouds
64,Bluff,NZ,2021-10-25 23:44:02,-46.6,168.3333,54.79,87,79,8.99,light rain
65,Vila Velha,BR,2021-10-25 23:48:37,-20.3297,-40.2925,73.35,83,75,11.5,broken clouds
66,Lompoc,US,2021-10-25 23:48:38,34.6391,-120.4579,66.56,76,40,12.66,scattered clouds
67,Wad Madani,SD,2021-10-25 23:48:38,14.4012,33.5199,91.4,24,98,4.27,overcast clouds
68,Kavieng,PG,2021-10-25 23:48:40,-2.5744,150.7967,83.88,70,96,4.41,light rain
69,Nelidovo,RU,2021-10-25 23:48:40,56.2211,32.7774,33.89,87,61,9.01,broken clouds
70,Esperance,AU,2021-10-25 23:45:18,-33.8667,121.9,55.24,63,64,4.0,broken clouds
71,Tuktoyaktuk,CA,2021-10-25 23:48:41,69.4541,-133.0374,30.2,100,90,5.75,light snow
72,Alamor,EC,2021-10-25 23:48:42,-4.0181,-80.0197,58.24,86,99,1.61,light rain
73,Cabo San Lucas,MX,2021-10-25 23:47:36,22.8909,-109.9124,87.62,57,1,12.66,clear sky
74,Rio Cuarto,AR,2021-10-25 23:48:43,-33.1307,-64.3499,80.37,29,0,8.05,clear sky
75,Puerto Ayora,EC,2021-10-25 23:48:44,-0.7393,-90.3518,68.56,93,58,5.01,broken clouds
76,Mahon,ES,2021-10-25 23:48:44,39.8885,4.2658,57.76,94,0,5.75,clear sky
77,Wajima,JP,2021-10-25 23:48:45,37.4,136.9,59.68,88,40,9.22,scattered clouds
78,Norman Wells,CA,2021-10-25 23:44:46,65.282,-126.8329,23.04,93,90,3.44,mist
79,Ulaangom,MN,2021-10-25 23:48:46,49.9811,92.0667,29.53,73,17,2.15,few clouds
80,Mehamn,NO,2021-10-25 23:43:48,71.0357,27.8492,32.88,80,89,26.98,light snow
81,La Ronge,CA,2021-10-25 23:48:47,55.1001,-105.2842,43.05,65,90,17.27,overcast clouds
82,Hobart,AU,2021-10-25 23:48:48,-42.8794,147.3294,58.01,60,75,8.05,broken clouds
83,Fortuna,US,2021-10-25 23:48:48,40.5982,-124.1573,60.93,66,90,1.99,overcast clouds
84,Vostok,RU,2021-10-25 23:48:49,46.4856,135.8833,43.65,57,1,2.62,clear sky
85,Avarua,CK,2021-10-25 23:48:50,-21.2078,-159.775,77.05,61,75,11.5,broken clouds
86,Pangkalanbuun,ID,2021-10-25 23:48:50,-2.6833,111.6167,78.64,89,81,0.31,light rain
87,Sao Sebastiao,BR,2021-10-25 23:48:51,-23.76,-45.4097,67.08,92,99,7.87,overcast clouds
88,Monrovia,LR,2021-10-25 23:45:17,6.3005,-10.7969,76.77,88,100,8.14,moderate rain
89,Laguna,US,2021-10-25 23:46:40,38.421,-121.4238,66.76,59,20,1.99,few clouds
90,Okhotsk,RU,2021-10-25 23:48:52,59.3833,143.3,22.84,74,46,8.66,scattered clouds
91,Kruisfontein,ZA,2021-10-25 23:48:53,-34.0033,24.7314,54.57,94,4,4.18,clear sky
92,Tuyen Quang,VN,2021-10-25 23:48:53,21.8233,105.2181,67.01,86,9,0.81,clear sky
93,Mogadishu,SO,2021-10-25 23:44:20,2.0371,45.3438,78.96,81,54,10.18,broken clouds
94,Ponta Do Sol,PT,2021-10-25 23:48:54,32.6667,-17.1,70.43,68,44,5.35,scattered clouds
95,Chumikan,RU,2021-10-25 23:48:55,54.7183,135.315,38.46,76,100,11.41,overcast clouds
96,Niihama,JP,2021-10-25 23:48:55,33.9593,133.3167,63.28,74,40,2.86,scattered clouds
97,Chuy,UY,2021-10-25 23:48:56,-33.6971,-53.4616,60.55,76,0,7.4,clear sky
98,Cape Town,ZA,2021-10-25 23:48:43,-33.9258,18.4232,63.09,64,0,3.0,clear sky
99,Butaritari,KI,2021-10-25 23:48:57,3.0707,172.7902,81.75,75,41,6.85,scattered clouds
100,Santa Cruz,BO,2021-10-25 23:48:57,-17.8,-63.1667,75.25,60,97,2.3,overcast clouds
101,Port Lincoln,AU,2021-10-25 23:48:58,-34.7333,135.8667,70.43,39,100,17.31,overcast clouds
102,Amuntai,ID,2021-10-25 23:48:58,-2.4177,115.2494,79.18,89,50,1.07,scattered clouds
103,Severo-Kurilsk,RU,2021-10-25 23:46:11,50.6789,156.125,45.95,72,14,12.53,few clouds
104,Mersing,MY,2021-10-25 23:48:59,2.4312,103.8405,73.31,100,69,5.75,broken clouds
