City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bredasdorp,ZA,2021-10-27 21:00:46,-34.5322,20.0403,66.27,96,87,6.06
68,Zhirnovsk,RU,2021-10-27 21:00:46,50.9845,44.7735,35.1,47,3,9.93
69,Roebourne,AU,2021-10-27 21:00:47,-20.7833,117.1333,73.92,29,4,8.08
70,Kurchum,KZ,2021-10-27 21:00:47,48.5722,83.6542,46.76,57,100,2.48
71,Carutapera,BR,2021-10-27 21:00:47,-1.195,-46.02,80.64,74,77,8.32
72,Waddan,LY,2021-10-27 21:00:48,29.1614,16.139,70.05,48,31,2.33
73,Jidong,CN,2021-10-27 21:00:48,45.2167,131.0833,37.27,81,57,8.88
74,Kahului,US,2021-10-27 21:00:35,20.8947,-156.47,84.97,74,1,8.99
75,Cockburn Town,TC,2021-10-27 21:00:49,21.4612,-71.1419,83.14,69,80,6.89
76,Ewa Beach,US,2021-10-27 21:00:02,21.3156,-158.0072,83.01,68,75,9.22
77,Grindavik,IS,2021-10-27 21:00:50,63.8424,-22.4338,39.67,87,0,8.05
78,Veinticinco De Mayo,AR,2021-10-27 21:00:43,-35.4323,-60.1727,94.05,39,54,7.78
79,Yulara,AU,2021-10-27 21:00:50,-25.2406,130.9889,73.54,22,86,6.11
80,Atar,MR,2021-10-27 21:00:51,20.5169,-13.0499,78.49,50,100,7.56
81,Bontang,ID,2021-10-27 21:00:51,0.1333,117.5,77.4,89,9,6.38
82,Les Cayes,HT,2021-10-27 21:00:52,18.2,-73.75,83.97,67,56,8.05
83,Lage,DE,2021-10-27 21:00:52,51.9922,8.793,54.73,94,73,1.99
84,Beyneu,KZ,2021-10-27 21:00:53,45.3167,55.2,36.99,51,0,2.37
85,Sorland,NO,2021-10-27 21:00:53,67.667,12.6934,41.07,91,100,20.78
86,Basco,PH,2021-10-27 21:00:54,20.4487,121.9702,80.15,67,86,21.43
87,Cape Town,ZA,2021-10-27 21:00:47,-33.9258,18.4232,66.11,74,84,1.01
88,Khuzhir,RU,2021-10-27 21:00:54,53.1939,107.3397,42.58,67,72,8.75
89,Gamba,GA,2021-10-27 21:00:55,-2.65,10.0,74.77,90,100,4.83
90,Ribas Do Rio Pardo,BR,2021-10-27 21:00:55,-20.4431,-53.7592,82.18,62,100,9.37
91,Tasiilaq,GL,2021-10-27 21:00:56,65.6145,-37.6368,32.16,67,42,3.85
92,Nikolskoye,RU,2021-10-27 21:00:56,59.7035,30.7861,45.39,91,100,9.66
93,Egvekinot,RU,2021-10-27 21:00:57,66.3167,-179.1667,2.66,89,99,3.96
94,Karratha,AU,2021-10-27 21:00:57,-20.7377,116.8463,72.72,32,1,9.53
95,Chulman,RU,2021-10-27 21:00:57,56.8479,124.9104,21.27,91,100,2.24
96,Wahiawa,US,2021-10-27 21:00:58,21.5028,-158.0236,79.79,69,75,9.22
97,Vila Velha,BR,2021-10-27 21:00:58,-20.3297,-40.2925,75.74,81,53,8.32
98,Mananara,MG,2021-10-27 21:00:59,-16.1667,49.7667,72.59,90,77,1.83
99,Manzanillo,CU,2021-10-27 21:00:59,20.3433,-77.1167,85.12,66,97,7.23
100,Tarata,BO,2021-10-27 21:01:00,-17.6167,-66.0167,68.07,33,69,11.36
101,Bilibino,RU,2021-10-27 21:01:00,68.0546,166.4372,-22.32,99,34,2.86
102,Port Hardy,CA,2021-10-27 21:00:26,50.6996,-127.4199,51.13,74,100,5.19
103,Zhoucheng,CN,2021-10-27 21:01:01,35.9122,116.3117,55.44,47,100,2.24
104,Camacha,PT,2021-10-27 21:01:02,33.0833,-16.3333,66.96,73,20,5.75
105,Laguna,US,2021-10-27 21:01:03,38.421,-121.4238,74.14,65,1,3.0
106,Necochea,AR,2021-10-27 20:57:11,-38.5473,-58.7368,75.07,67,0,10.83
107,Husavik,IS,2021-10-27 20:57:16,66.0449,-17.3389,35.51,98,100,12.84
108,Inhambane,MZ,2021-10-27 21:01:04,-23.865,35.3833,70.84,80,24,13.04
109,Shache,CN,2021-10-27 21:01:05,38.4167,77.2406,48.47,35,22,4.18
110,Nanortalik,GL,2021-10-27 21:01:05,60.1432,-45.2371,35.11,66,2,9.17
111,La Tuque,CA,2021-10-27 21:01:06,47.4334,-72.7824,48.27,62,95,9.19
112,Mahebourg,MU,2021-10-27 21:01:07,-20.4081,57.7,72.25,83,40,3.44
113,Bengkulu,ID,2021-10-27 21:01:07,-3.8004,102.2655,76.53,84,100,4.05
114,Mbini,GQ,2021-10-27 21:01:07,1.574,9.6134,77.68,87,100,7.27
115,Madang,PG,2021-10-27 21:01:08,-5.2246,145.7966,77.09,91,76,2.68
116,Hilo,US,2021-10-27 20:57:46,19.7297,-155.09,79.79,74,16,5.01
117,Huangzhou,CN,2021-10-27 21:01:09,30.45,114.8,63.36,61,51,0.34
118,Vila,PT,2021-10-27 21:01:09,42.0304,-8.1588,52.34,82,9,3.83
119,Tselinnoye,RU,2021-10-27 21:01:09,53.0833,85.6667,27.9,55,61,3.11
120,Kruisfontein,ZA,2021-10-27 21:01:10,-34.0033,24.7314,64.8,84,100,5.75
121,Pyaozerskiy,RU,2021-10-27 21:01:10,65.8333,31.1667,26.76,92,100,7.45
122,Bethel,US,2021-10-27 21:01:11,41.3712,-73.414,57.09,81,90,1.01
123,Pisco,PE,2021-10-27 21:01:11,-13.7,-76.2167,65.01,85,10,7.87
124,Butajira,ET,2021-10-27 21:01:12,8.1167,38.3667,59.16,52,28,6.22
125,Kapoeta,SS,2021-10-27 21:01:12,4.7717,33.5903,79.92,49,32,5.75
126,Machinga,MW,2021-10-27 21:01:13,-15.1685,35.3,72.48,66,37,5.5
127,Kloulklubed,PW,2021-10-27 21:01:13,7.0419,134.2556,83.97,69,66,8.88
128,Lebu,CL,2021-10-27 21:01:13,-37.6167,-73.65,56.5,77,69,13.62
129,Dikson,RU,2021-10-27 21:01:14,73.5069,80.5464,6.66,91,42,3.78
130,Brae,GB,2021-10-27 21:01:15,60.3964,-1.353,49.91,86,23,9.1
131,Nouadhibou,MR,2021-10-27 21:01:15,20.931,-17.0347,68.72,85,27,17.54
132,Impfondo,CG,2021-10-27 21:01:15,1.6381,18.0667,69.15,97,99,3.44
133,Nara,JP,2021-10-27 21:01:13,34.6851,135.8049,58.28,86,0,1.68
134,Arlit,NE,2021-10-27 21:01:16,18.7369,7.3853,87.49,11,3,7.47
135,Butaritari,KI,2021-10-27 21:01:17,3.0707,172.7902,81.57,72,100,8.14
136,Dudinka,RU,2021-10-27 21:01:17,69.4058,86.1778,-8.63,98,95,6.64
137,Oakdale,US,2021-10-27 21:01:18,44.963,-92.9649,54.05,66,90,16.11
138,Leningradskiy,RU,2021-10-27 21:01:18,69.3833,178.4167,10.18,93,100,20.27
139,Tharad,IN,2021-10-27 21:01:19,24.3961,71.6267,76.69,36,0,6.15
140,Kununurra,AU,2021-10-27 21:01:19,-15.7667,128.7333,80.58,83,40,2.3
141,Vasai,IN,2021-10-27 21:01:20,19.47,72.8,82.49,54,3,7.54
142,Northam,GB,2021-10-27 21:01:20,51.0333,-4.2167,59.67,85,84,24.11
143,Waterloo,CA,2021-10-27 20:58:29,43.4668,-80.5164,60.67,48,1,4.61
144,Hede,CN,2021-10-27 21:01:21,33.7681,120.2517,54.12,59,100,1.63
145,Paamiut,GL,2021-10-27 21:01:21,61.994,-49.6678,31.35,70,65,12.97
146,San Lazaro,BZ,2021-10-27 21:01:22,18.0387,-88.6622,86.95,69,97,5.75
147,Narsaq,GL,2021-10-27 21:01:22,60.9167,-46.05,32.22,67,15,6.4
148,Port-Cartier,CA,2021-10-27 21:01:23,50.0334,-66.8654,42.75,74,0,1.48
149,Kavieng,PG,2021-10-27 21:01:23,-2.5744,150.7967,82.31,77,34,12.41
150,Tura,IN,2021-10-27 21:01:23,25.5198,90.2201,66.67,94,1,3.96
151,Port-Gentil,GA,2021-10-27 21:01:24,-0.7193,8.7815,78.15,83,100,11.16
152,Dunedin,NZ,2021-10-27 20:59:43,-45.8742,170.5036,57.79,79,22,8.99
153,Daru,PG,2021-10-27 21:01:25,-9.0763,143.2092,80.64,82,99,15.1
154,Ponta Delgada,PT,2021-10-27 21:01:25,37.7333,-25.6667,66.92,94,40,11.5
155,Chuy,UY,2021-10-27 21:01:25,-33.6971,-53.4616,72.99,68,0,5.95
156,Bose,IT,2021-10-27 21:01:26,45.4612,8.0137,53.24,69,0,3.53
157,Cidreira,BR,2021-10-27 21:01:26,-30.1811,-50.2056,70.86,77,0,9.73
158,Hithadhoo,MV,2021-10-27 21:01:27,-0.6,73.0833,81.41,76,23,15.48
159,Castro,BR,2021-10-27 21:01:10,-24.7911,-50.0119,65.52,91,100,7.52
160,Tucuma,BR,2021-10-27 21:01:27,-0.1833,-50.05,82.2,70,58,11.54
161,Tuktoyaktuk,CA,2021-10-27 21:01:28,69.4541,-133.0374,28.08,97,93,5.64
162,Vadso,NO,2021-10-27 21:01:28,70.0744,29.7487,31.95,80,40,12.66
163,Muisne,EC,2021-10-27 21:01:29,0.6,-80.0333,77.85,82,90,10.63
164,Sidi Ali,DZ,2021-10-27 21:01:29,36.0998,0.4206,61.79,76,16,7.67
165,Roskovec,AL,2021-10-27 21:01:30,40.7375,19.7022,56.91,54,9,4.63
166,Sheffield,GB,2021-10-27 20:59:37,53.383,-1.4659,61.43,79,94,3.0
167,Waingapu,ID,2021-10-27 21:01:30,-9.6567,120.2641,80.62,77,72,6.06
168,Banes,CU,2021-10-27 21:01:31,20.9625,-75.7186,84.2,68,70,7.54
169,Victoria,HK,2021-10-27 21:01:15,22.2855,114.1577,77.32,85,85,1.01
170,Henties Bay,NA,2021-10-27 21:01:32,-22.116,14.2845,60.85,81,96,3.74
171,Bluff,NZ,2021-10-27 21:01:32,-46.6,168.3333,56.19,73,8,2.66
172,Miraflores,MX,2021-10-27 21:01:32,19.2167,-98.8083,79.03,50,29,5.48
173,Pierre,US,2021-10-27 20:56:46,44.3683,-100.351,63.28,50,71,1.01
174,Namatanai,PG,2021-10-27 21:01:33,-3.6667,152.4333,81.7,76,41,5.26
175,Lagoa,PT,2021-10-27 21:01:33,39.05,-27.9833,67.46,67,94,20.74
176,Avera,US,2021-10-27 21:01:34,33.194,-82.5271,73.74,28,10,1.7
